alas,individual,n_type
中国农业银行,农业银行,企业
农业银行,农业银行,企业
农行,农业银行,企业
中国工商银行,工商银行,企业
工商银行,工商银行,企业
工行,工商银行,企业
中国建设银行,建设银行,企业
建设银行,建设银行,企业
建行,建设银行,企业
中国交通银行,交通银行,企业
交通银行,交通银行,企业
交行,交通银行,企业
中国银行,中国银行,企业
中行,中国银行,企业
中国招商银行,招商银行,企业
招商银行,招商银行,企业
招行,招商银行,企业
中国平安银行,平安银行,企业
平安银行,平安银行,企业
中国光大银行,光大银行,企业
光大银行,光大银行,企业
腾讯,腾讯,企业
tencent,腾讯,企业
京东,京东,企业
JingDong,京东,企业
JD,京东,企业
阿里巴巴,阿里,企业
阿里,阿里,企业
蚂蚁金服,蚂蚁,企业
百度,百度,企业
baidu,百度,企业
物联网,物联网,前沿技术
数字货币,数字货币,前沿技术
区块链,区块链,前沿技术
指纹识别,生物识别,前沿技术
人脸识别,生物识别,前沿技术
虹膜识别,生物识别,前沿技术
生物识别,生物识别,前沿技术
VR,虚拟现实,前沿技术
AR,虚拟现实,前沿技术
计算机视觉,虚拟现实,前沿技术
云计算,云计算,前沿技术
边缘计算,边缘计算,前沿技术
人工智能,人工智能,前沿技术
AI,人工智能,前沿技术
机器学习,人工智能,前沿技术
深度学习,人工智能,前沿技术
强化学习,人工智能,前沿技术


